Name of Org,City/Territory,Contact Email,Contact Person,Contact Phone,Date Contacted,Who's Tracking,Status,Notes
Greater Charlotte Area Mutual Aid,"Charlotte, NC",lukes phone number,,,,Marissa,Active,
Indy COVID-19 Neighbor Response Team,"Indianapolis, IN",,,,,,Active,
Baltimore Mutual Aid,"Baltimore, MD",,,,,,Active,
Pittsburgh Mutual Aid,"Pittsburgh, PA",,,,,,Active,
Sunshine Pinellas Mutual Aid,"Pinellas/St. Petersburg area, FL",sunshinemutualaid@gmail.com / shanepetish@gmail.com,Colton Petish,7274009885,5/15/20,Yoav,Active,
--,"Beacon, NY",Slack DM,Dara Silverman,,,Yoav,Declined,Covaid workflow not compatible for how her group works
DSA Fresno,"Fresno, CA",Slack DM,John B.,,,Yoav,Declined,Was interested but went unresponsive
Mutual Aid Arlington,"Arlington, MA",Slack DM,Shane Curcuru,,,Yoav,Declined,Went unresponsive
Chicago Mutual Aid Group,"Chicago, IL",form on her website,Kelly Hayes,,5/8/20,Jerry,Declined,She's too busy
STL Quarantine Support,"St. Louis, MO",Email,,,,Yoav,Other (See notes),Were possibly interested but went unresponsive. Sent follow up email but still no response.
Orlando Mutual Aid,"Orlando, FL",FB messenger,Rob Hermida,,,Yoav,Other (See notes),Was active but pulled out bc unable to commit
Evanston Mutual Aid,"Evanston, IL",email,,,,Marissa,Pending,zoom meeting 4/28 1:00
CCOM mutual aid,"Chicago, IL",email,,,,Marissa,Pending,zoom meeting 4/27 12:00
Grand Junction Mutual Aid,"Grand Junction, CO",robgwclapp68@gmail.com,Rob,,,Yoav,Pending,Zoom meeting pending
Six Feet Supplies,"Valencia, CA",6feetsupplies@gmail.com,high school group,,,Marissa,Pending,zoom call went well. They are going to get back to us.
Birmingham Alabama Mutual Aid,"Birmingham, AL",BirminghamALMutualAid@gmail.com,,,,Marissa,Pending,trying to set up a zoom meeting
Hayward Community Resource,Hayward,HaywardCommunityResource@gmail.com,,,,Marissa,Pending,working on setting up a zoom meeting
Hands on Atlanta,"Atlanta, GA",acollier@handsonatlanta.org,Ashley Collier,404.979.2800,5/7/20,Jerry,Pending,
United Way of Greater Atlanta,"Atlanta, GA",INFO@UNITEDWAYATLANTA.ORG,,404.527.7200,5/7/20,Jerry,Pending,
Atlanta Community Food Bank,"Atlanta, GA",info@acfb.org,,404.892.9822,5/7/20,Jerry,Pending,
NYC United Against Coronavirus,"New York, NY",NYCCoronavirus@gmail.com,,,5/7/20,Jerry,Pending,
Denver Community Mutual Aid,"Denver, CO",rebeccanoliver@gmail.com,Rebecca Oliver,,5/7/20,Jerry,Pending,
Las Vegas DSA Mutual Aid,"Las Vegas, NV",lvdsaoutreach@gmail.com,Kara H.,,5/7/20,Jerry,Pending,
Philly Mutual Aid - Neighbors Helping Neighbors,"Philadephia, PA",nhnphilly@protonmail.com,,,5/7/20,Jerry,Pending,
New Orleans Mutual Aid Group,"New Orleans, LA",neworleansmutualaid@gmail.com,,,5/7/20,Jerry,Pending,
Seattle's Mutual Aid Group,"Seattle, WA",covid19mutualaidsea@gmail.com,,,5/8/20,Jerry,Pending,
Duke Mutual Aid,"Durham, NC",Slack DM,Lily Levin,,5/8,Yoav,Pending,May collaborate on tech stuff? Unclear -- was busy bc AP exams
SF Community Support,"San Francisco, CA",hello@sfcommunitysupport.org,,(415) 636-7748,5/11/20,Jerry,Pending,
Cambridge Mutual Aid,"Cambridge, MA",Slack DM,,,5/18/20,Yoav,Pending,Met with east cambridge pod leader who was impressed and will connect us with main leaders.
Delaware Mutual Aid,Delaware,,,,,Jeffrey,Active,
Harvestera KC,Kansas City KS/MO,,,,,Elle,Pending,
Carbondale Emergency Task Force,Carbondale,carbondale.tf@gmail.com,,,,Jeffrey,Pending,
Project Pasadena,Pasadena,contact@projectpasadena.com,,,,Jeffrey,Pending,
Madison General Defense Committee,Madison,gmrcmadison@gmail.com,,,,,,
Takoma Park Coronavirus Community Service Response,Takoma,TPKCCSR@gmail.com,,,,,,
Oakland At Risk,Oakland,OaklandAtRisk@gmail.com,,,,,,
Every Child Oregon,Oregon,info@everychildoregon.org,,,,,,
Team Beaverton,Beaverton,TeamBeaverton@gmail.com,,,,,,
Hunting Ridge,Hunting Ridge,stevennutt+covid19@gmail.com,,,,,,
Allston Brighton Mutual Aid,Allston Brighton,AllstonBrightonMutualAid@gmail.com,,,,,,
Neighbors4Seniors,Wayland,davidvwatkins@gmail.com,,,,,,
Tallahassee Mutual Aid,Tallahassee,"smoneil89@gmail.com, amg12b@my.fsu.edu, davisjenifer11@gmail.com",,,,,,
McLean County IL Covid-19 Mutual Aid,Mclean County,vegasrobert33@gmail.com,,,,,,
Rhode Island Pride,Rhode Island,info@prideri.com,,,,,,
Southeast Queens and the Rockaways Mutual Aid,Southeast Queens and the Rockaways,mutualaidseqrockaway@gmail.com,,,,,,
